"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x2463274765","x1008113982778040320",2018-06-16 22:27:58,"TwinmomSue","Dear Christians who are rightfully upset about your holy book being distorted to justify crimes against humanity. We feel you.
— Muslims  #Bible","Twitter for iPad",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x15467229","AishaS","en",,,,,,,,,,,,,,,,"x1007395733220163584","Dear Christians who are rightfully upset about your holy book being distorted to justify crimes against humanity. We feel you.
— Muslims  #Bible",2018-06-14 22:53:53,"Twitter for iPhone",74180,15755,"x15467229","AishaS","Aisha Sultan",22660,899,18732,"St. Louis","Syndicated columnist @stltoday. Filmmaker. Speaker. Writing about families & social change.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TwinmomSue/status/1008113982778040320","Nancy Pelosi’s Big Ass Hammer","Illinois","ACA/Environmental/LGBT/Peace advocate. #NotMyPresident",,FALSE,4141,5002,56,70992,38283,2014-04-25 14:15:13,FALSE,,,,"https://pbs.twimg.com/profile_banners/2463274765/1518046043","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1080906615014985729/yiDvjsYJ_normal.jpg"
"x3668101515","x1008113966235734017",2018-06-16 22:27:54,"1776tamara","Koran school in Sweden teaches Muslim kids to feel superior to non-Muslims. https://t.co/GIi6dhsPEp","Twitter for iPhone",,,,,FALSE,TRUE,0,0,0,0,,,"voiceofeurope.com/2018/06/koran-…","https://t.co/GIi6dhsPEp","https://voiceofeurope.com/2018/06/koran-school-in-sweden-teaches-muslim-kids-to-feel-superior-to-non-muslims/",,,,,,,,,"x18643437","PrisonPlanet","en",,,,,,,,,,,,,,,,"x1008104265687150592","Koran school in Sweden teaches Muslim kids to feel superior to non-Muslims. https://t.co/GIi6dhsPEp",2018-06-16 21:49:21,"Twitter Web Client",1960,1340,"x18643437","PrisonPlanet","Paul Joseph Watson",1122318,707,69887,"London","""Watson is a brilliant polemicist."" The Spectator.....”Free speech extremist.” The Mirror.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/1776tamara/status/1008113966235734017","Tamara","United States","Proud Conservative American | Born and raised in New Jersey | Past President West Valley Republican Women in Phoenix, AZ",,FALSE,915,319,41,89124,72916,2015-09-15 21:59:37,FALSE,,,,"https://pbs.twimg.com/profile_banners/3668101515/1562377992","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/947653370667520000/uNzZy3s-_normal.jpg"
"x578425214","x1008113955305377793",2018-06-16 22:27:51,"Rumsucher","Swedish Quran school teaching it's pupils to ""refuse to listen to white people""

Seems like integration is not working very well.

https://t.co/2QkesNve0x","Twitter Web Client",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x707231479047315456","PeterSweden7","en",,,,,,,,,,,,,,,,"x1008106304626479104","Swedish Quran school teaching it's pupils to ""refuse to listen to white people""

Seems like integration is not working very well.

https://t.co/2QkesNve0x",2018-06-16 21:57:27,"Twitter Web Client",219,159,"x707231479047315456","PeterSweden7","PeterSweden",174179,330,24163,"Møre og Romsdal, Norway","I'm Peter Imanuelsen. Swedish journalist. Political commentator. I despise Nazis and Communists. Editor-in-chief at http://timesofsweden.com",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Rumsucher/status/1008113955305377793","Für mein Land <U+0001F1E9><U+0001F1EA> nur noch AfD <U+0001F499>","Sachsen, Deutschland","<U+0001F1E9><U+0001F1EA> #AfD #Patriot #IslamisnotPeace follow back! NO DM",,FALSE,5120,4790,20,189543,84437,2012-05-12 21:53:55,FALSE,,,,"https://pbs.twimg.com/profile_banners/578425214/1506287203","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/912060596249653249/dWYWKUoO_normal.jpg"
"x929491673909952512","x1008113945612292096",2018-06-16 22:27:49,"Tauqeer10214122","Happy Eid day to all Muslims all over the world","Twitter for Android",,,,,FALSE,FALSE,2,1,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Tauqeer10214122/status/1008113945612292096","Tauqeer","Jeddah, Kingdom of Saudi Arabi",,,FALSE,15,13,0,36,126,2017-11-11 23:30:58,FALSE,,,,,"","http://pbs.twimg.com/profile_images/1008110653234647040/2F7KxHyF_normal.jpg"
"x198419080","x1008113938985373696",2018-06-16 22:27:47,"27_mashiyi","Retweeted BRCA(Australia) (@BRCA_Australia):

Myanmar's treatment of its Rohingya Muslims has been likened to apartheid, in a report by Amnesty International.
 
The human rights organisation spent two years... https://t.co/M4RrxvLors","Facebook",,,,,FALSE,FALSE,0,0,0,0,,,"twitter.com/i/web/status/1…","https://t.co/Dg18MGHFnD","https://twitter.com/i/web/status/1008113938985373696",,,,,,,,,"x758989699","BRCA_Australia","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/27_mashiyi/status/1008113938985373696","Siyabulela Mashiyi","South Africa",,,FALSE,1849,4806,40,119721,13811,2010-10-04 07:37:20,FALSE,,,,"https://pbs.twimg.com/profile_banners/198419080/1576936947","http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/1208386789637074944/thW39Imo_normal.jpg"
"x198419080","x1008113928432508932",2018-06-16 22:27:45,"27_mashiyi","Myanmar's treatment of its Rohingya Muslims has been likened to apartheid, in a report by Amnesty International.
 
The human rights organisation spent two years investigating the cause of current #Rohingya crisis, which has forced hundreds of thousands of refugees to #Bangladesh https://t.co/3rjqZJXgFG","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x758989699","BRCA_Australia","en",,,,,,,,,,,,,,,,"x933113573374533633","Myanmar's treatment of its Rohingya Muslims has been likened to apartheid, in a report by Amnesty International.
 
The human rights organisation spent two years investigating the cause of current #Rohingya crisis, which has forced hundreds of thousands of refugees to #Bangladesh https://t.co/3rjqZJXgFG",2017-11-21 23:23:06,"Twitter for iPhone",12,7,"x758989699","BRCA_Australia","BRCA(Australia)",476,149,1558,"AUSTRALIA","BURMESE ROHINGYA COMMUNITY IN AUSTRALIA",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/27_mashiyi/status/1008113928432508932","Siyabulela Mashiyi","South Africa",,,FALSE,1849,4806,40,119721,13811,2010-10-04 07:37:20,FALSE,,,,"https://pbs.twimg.com/profile_banners/198419080/1576936947","http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/1208386789637074944/thW39Imo_normal.jpg"
"x938544074486960128","x1008113932291145728",2018-06-16 22:27:45,"Baller_0420","Koran school in Sweden teaches Muslim kids to feel superior to non-Muslims. https://t.co/GIi6dhsPEp","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,,,"voiceofeurope.com/2018/06/koran-…","https://t.co/GIi6dhsPEp","https://voiceofeurope.com/2018/06/koran-school-in-sweden-teaches-muslim-kids-to-feel-superior-to-non-muslims/",,,,,,,,,"x18643437","PrisonPlanet","en",,,,,,,,,,,,,,,,"x1008104265687150592","Koran school in Sweden teaches Muslim kids to feel superior to non-Muslims. https://t.co/GIi6dhsPEp",2018-06-16 21:49:21,"Twitter Web Client",1960,1340,"x18643437","PrisonPlanet","Paul Joseph Watson",1122318,707,69887,"London","""Watson is a brilliant polemicist."" The Spectator.....”Free speech extremist.” The Mirror.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Baller_0420/status/1008113932291145728","Black Squirrel",,"We change the course of history, everyday people like you and me",,FALSE,2930,3732,0,37732,77941,2017-12-06 23:01:59,FALSE,,,,"https://pbs.twimg.com/profile_banners/938544074486960128/1512603652","","http://pbs.twimg.com/profile_images/989607715122098177/Ol7WvL5V_normal.jpg"
"x2381241810","x1008113917778972674",2018-06-16 22:27:42,"qubrat1s","Swedish Quran school teaching it's pupils to ""refuse to listen to white people""

Seems like integration is not working very well.

https://t.co/2QkesNve0x","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x707231479047315456","PeterSweden7","en",,,,,,,,,,,,,,,,"x1008106304626479104","Swedish Quran school teaching it's pupils to ""refuse to listen to white people""

Seems like integration is not working very well.

https://t.co/2QkesNve0x",2018-06-16 21:57:27,"Twitter Web Client",219,159,"x707231479047315456","PeterSweden7","PeterSweden",174179,330,24163,"Møre og Romsdal, Norway","I'm Peter Imanuelsen. Swedish journalist. Political commentator. I despise Nazis and Communists. Editor-in-chief at http://timesofsweden.com",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/qubrat1s/status/1008113917778972674","ALL IN 4 TRUMP",,"DEPLORABLE  COVFEFE",,FALSE,2396,1039,295,243081,101883,2014-03-10 00:33:31,FALSE,,,,"https://pbs.twimg.com/profile_banners/2381241810/1486067984","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/831281951025750016/3NOHwZZ2_normal.jpg"
"x923879872166055938","x1008113914750566400",2018-06-16 22:27:41,"Alexander789893","Koran school in Sweden teaches Muslim kids to feel superior to non-Muslims https://t.co/Caj1n7BhE4","Twitter Web Client",,,,,FALSE,TRUE,0,0,0,0,,,"voiceofeurope.com/2018/06/koran-…","https://t.co/Caj1n7BhE4","https://voiceofeurope.com/2018/06/koran-school-in-sweden-teaches-muslim-kids-to-feel-superior-to-non-muslims/#.WyVIIU2XuWU.twitter",,,,,,,,,"x4717892303","V_of_Europe","en",,,,,,,,,,,,,,,,"x1008037976063074304","Koran school in Sweden teaches Muslim kids to feel superior to non-Muslims https://t.co/Caj1n7BhE4",2018-06-16 17:25:56,"Twitter Web Client",574,842,"x4717892303","V_of_Europe","Voice of Europe <U+0001F30D>",237146,427,26802,,"Uncensored News Network

News tip? Send it via -contact us form- on the website",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Alexander789893/status/1008113914750566400","Alexander <U+0001F1E9><U+0001F1F0>","Danmark","Danish Nationalist <U+0001F1E9><U+0001F1F0>",,FALSE,944,1569,1,26971,29788,2017-10-27 11:51:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/923879872166055938/1509105292","","http://pbs.twimg.com/profile_images/923880521008115717/pkAXk_BD_normal.jpg"
"x749439894","x1008113914003980289",2018-06-16 22:27:41,"KidukSong","Koran school in Sweden teaches Muslim kids to feel superior to non-Muslims. https://t.co/GIi6dhsPEp","Twitter for iPhone",,,,,FALSE,TRUE,0,0,0,0,,,"voiceofeurope.com/2018/06/koran-…","https://t.co/GIi6dhsPEp","https://voiceofeurope.com/2018/06/koran-school-in-sweden-teaches-muslim-kids-to-feel-superior-to-non-muslims/",,,,,,,,,"x18643437","PrisonPlanet","en",,,,,,,,,,,,,,,,"x1008104265687150592","Koran school in Sweden teaches Muslim kids to feel superior to non-Muslims. https://t.co/GIi6dhsPEp",2018-06-16 21:49:21,"Twitter Web Client",1960,1340,"x18643437","PrisonPlanet","Paul Joseph Watson",1122318,707,69887,"London","""Watson is a brilliant polemicist."" The Spectator.....”Free speech extremist.” The Mirror.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KidukSong/status/1008113914003980289","Kiduk Song #MAGA ""Nationalist""","Chicago, IL","Compassion,Commonsense, Logic, Knowledge and Wisdom. <U+CDA9><U+C131>! #Walkaway #Buildthewall #God #ProLife #1A #2A #Military #Benghazi #MAGA #KAG #Brexit #SAfrica #Israel",,FALSE,17497,18258,5,78745,67096,2012-08-10 14:21:29,FALSE,,,,"https://pbs.twimg.com/profile_banners/749439894/1574732095","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/2489559585/image_normal.jpg"
