,created_at,id_str,Company_to_Customer,in_reply_to_status_id_str,in_reply_to_user_id_str,in_reply_to_screen_name,Text,replyToSN,created,replyToSID,id,replyToUID,screenName
351,Tue Jul 04 10:26:37 +0000 2017,8.82184E+17,"@sally_kilshaw Hi Sally, sorry you feel this way. I can see you've messaged us on Facebook so I'll reply to you on there. Thanks, Jamie- Lee",8.82171E+17,7.67819E+17,sally_kilshaw,"@BritishGas I am appalled at your lack of customer service, Ofgem here I come!!",BritishGas,04/07/2017 09:36,NA,8.82171E+17,46630225,sally_kilshaw
8,Wed Jul 05 20:03:23 +0000 2017,8.82691E+17,"@AlionaJefimova Hi Aliona, Please call 0800 048 1000 for a quote or see this link  https://t.co/9fGpvUexFf Cheers, Tracey",8.82683E+17,2593473175,AlionaJefimova,@BritishGasHelp How much do you charge for a service on a gas fire?,BritishGasHelp,05/07/2017 19:31,NA,8.82683E+17,431673892,AlionaJefimova
9,Wed Jul 05 19:59:34 +0000 2017,8.8269E+17,"@chaos_coffee Let me check to see what's going on. Can you please DM me your full name, address &amp; DoB &amp; the email address you've been using.",8.8269E+17,3873581915,chaos_coffee,@BritishGasHelp On the main website,BritishGasHelp,05/07/2017 19:56,8.82684E+17,8.8269E+17,431673892,acreativecuppa
10,Wed Jul 05 19:57:21 +0000 2017,8.8269E+17,"@Hammy_Hamster Hey Hammy, sorry to hear you've had bother with it. Is it the monitor or the meter that's playing up? Thanks, Daryll",8.82688E+17,21519011,Hammy_Hamster,@BBCWatchdog British gas smart meter 3 days then it stopped working swapped today told will not work unit November so now it's in a drawer,BBCWatchdog,05/07/2017 19:48,NA,8.82688E+17,132849881,Hammy_Hamster
11,Wed Jul 05 19:52:55 +0000 2017,8.82689E+17,@matttaylor1977 I'm pleased to hear that and assure you this is not normal practice. Sarah,8.82683E+17,101558328,matttaylor1977,@BritishGasHelp Yes. My electrician friend told me it wasn't left safe. Appreciate the speedy response in you getti… https://t.co/bU0Slrz3nU,BritishGasHelp,05/07/2017 19:30,8.80146E+17,8.82683E+17,431673892,matttaylor1977
12,Wed Jul 05 19:32:39 +0000 2017,8.82684E+17,"@chaos_coffee Hi Clare, that's strange. Is this on the main website or on the app? Thanks, Shelley",8.82682E+17,3873581915,chaos_coffee,@BritishGasHelp I can't login to my online account says technical problems try again later but has been like this for 2 days!,BritishGasHelp,05/07/2017 19:25,NA,8.82682E+17,431673892,acreativecuppa
13,Wed Jul 05 19:18:03 +0000 2017,8.8268E+17,@CobblersHelen 2/2 on over the phone number called as all telephone numbers have been removed off the account? Sarah,8.82669E+17,721952946,CobblersHelen,When are @BritishGas going to stop ringing about a smart meter for my dead mother's account ?,NA,05/07/2017 18:34,NA,8.82669E+17,NA,CobblersHelen
14,Wed Jul 05 19:17:24 +0000 2017,8.8268E+17,"@CobblersHelen 1/2 Hi Helen, I'm disappointed to read this. I can see you've contacted us before regarding this iss… https://t.co/mPGBeWHW1j",8.82669E+17,721952946,CobblersHelen,When are @BritishGas going to stop ringing about a smart meter for my dead mother's account ?,NA,05/07/2017 18:34,NA,8.82669E+17,NA,CobblersHelen
15,Wed Jul 05 18:36:49 +0000 2017,8.8267E+17,"@HadcroftRose Great news Georgina and thanks for taking time to post your lovely comments :-) Cheers, Sharon",8.82668E+17,2199848801,HadcroftRose,"@BritishGasHelpI would like to say your customer service is now exceptional. Friendly quick and no arguments. Customer first. Good to see",BritishGasHelp,05/07/2017 18:32,NA,8.82668E+17,431673892,HadcroftRose
16,Wed Jul 05 18:36:03 +0000 2017,8.82669E+17,@DanielBowyer10 Your case handler will be able to discuss this with you Daniel.,8.82667E+17,8.53016E+17,DanielBowyer10,"@BritishGasHelp Would cover the inconvenience including the calls I have had to make, I am being charged for calling you.",BritishGasHelp,05/07/2017 18:26,8.82655E+17,8.82667E+17,431673892,DanielBowyer10
17,Wed Jul 05 18:35:58 +0000 2017,8.82669E+17,"@simon33510029 Hi Simon, that's not good to hear. Pls pop me a DM with your details and I'll look into this for you. Thanks, Paul",8.82663E+17,3141216179,simon33510029,@BritishGas paid bill online and went into wrong account 3 phone calls later still don't know if it's resolved utter incompetence!,BritishGas,05/07/2017 18:11,NA,8.82663E+17,46630225,simon33510029
18,Wed Jul 05 18:30:01 +0000 2017,8.82668E+17,"@Susan301807 Thanks Susan, I've just replied to your DM now.",8.82658E+17,19596707,Susan301807,@BritishGasHelp Sent <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>,BritishGasHelp,05/07/2017 17:51,8.82654E+17,8.82658E+17,431673892,Susan301807
19,Wed Jul 05 18:13:36 +0000 2017,8.82664E+17,"@JoDobson88 Hi Jo, I can check for you. Please pop me over your full address and phone number. Thanks, Sharon",8.82661E+17,8.39203E+17,JoDobson88,@BritishGasHelp #AppHelp im not sure if ny cooker is included in my homecare &amp; it seems to be running really slowly,BritishGasHelp,05/07/2017 18:01,NA,8.82661E+17,431673892,JoDobson88
21,Wed Jul 05 17:55:43 +0000 2017,8.82659E+17,"@ColinBennett14 Lol, it's addictive at first to see what uses what! I'm sure you'll make huge savings :) Sarah",8.82649E+17,558409178,ColinBennett14,Thanks @BritishGas for my new Smart Meters - however now realise I can't afford to be on Twitter....,NA,05/07/2017 17:15,NA,8.82649E+17,NA,ColinBennett14
22,Wed Jul 05 17:43:24 +0000 2017,8.82656E+17,"@huddjo Pls pop me a DM with your address, customer number and DoB and I'll see if there's anything here about it.",8.82656E+17,24900143,huddjo,"@BritishGasHelp Hi Paul, I don't know. but it looks like someone has been round as wasn't how we leave it. is this… https://t.co/G5dD7M9rP5",BritishGasHelp,05/07/2017 17:40,8.82655E+17,8.82656E+17,431673892,huddjo
23,Wed Jul 05 17:40:15 +0000 2017,8.82655E+17,"@gavinperry60 Hi Gavin, I'll have a look for you. For security pls DM me your address, customer number and DoB. Thanks, Paul",8.82655E+17,4086418155,gavinperry60,@BritishGasHelp #AppHelp Please could I set up gas DD my bank account Details are already on elec DD. Please contact me. Thanks.,BritishGasHelp,05/07/2017 17:38,NA,8.82655E+17,431673892,gavinperry60
24,Wed Jul 05 17:39:05 +0000 2017,8.82655E+17,"@huddjo Hi Jo, not what you need! Do you know if your neighbours are affected too? Thanks, Paul",8.82649E+17,24900143,huddjo,"@BritishGasHelp #AppHelp Any idea why there's no display on my electric meter, I've got power to the house ??",BritishGasHelp,05/07/2017 17:14,NA,8.82649E+17,431673892,huddjo
25,Wed Jul 05 17:38:46 +0000 2017,8.82655E+17,@DanielBowyer10 The case handler will get all that side of things sorted for you Daniel.,8.82653E+17,8.53016E+17,DanielBowyer10,@BritishGasHelp I would like no further calls from British Gas.,BritishGasHelp,05/07/2017 17:30,8.82653E+17,8.82653E+17,431673892,DanielBowyer10
26,Wed Jul 05 17:35:39 +0000 2017,8.82654E+17,"@Susan301807 Hi Susan, if you'd like to DM a picture of them, I can check for you. Thanks, Shelley",8.82652E+17,19596707,Susan301807,@BritishGasHelp hi - we've received 2 emails offering Amazon vouchers from BG but not addressed correctly. Can I check they're legit?,BritishGasHelp,05/07/2017 17:27,NA,8.82652E+17,431673892,Susan301807
27,Wed Jul 05 17:29:33 +0000 2017,8.82653E+17,"@DanielBowyer10 I'm really sorry you've had to do that Daniel, I'll let the case handler know.",8.82649E+17,8.53016E+17,DanielBowyer10,@BritishGasHelp Don't worry about it. I no longer want the callback. I'll deal through a third party. Thanks.,BritishGasHelp,05/07/2017 17:13,8.82648E+17,8.82649E+17,431673892,DanielBowyer10
28,Wed Jul 05 17:20:18 +0000 2017,8.8265E+17,@PaulIngramUK If you pop me your address &amp; DoB on a DM I'll see what's going on with it,8.82647E+17,366616156,PaulIngramUK,@BritishGasHelp The engineer visiting last week turned up and didn't exchange the meter and didn't order one for to… https://t.co/N77U7Oy4C0,BritishGasHelp,05/07/2017 17:08,8.82646E+17,8.82647E+17,431673892,PaulIngramUK
29,Wed Jul 05 17:10:14 +0000 2017,8.82648E+17,@DanielBowyer10 manager's not called you &amp; I'll chase this again for you. 2/2,8.82645E+17,8.53016E+17,DanielBowyer10,@BritishGasHelp Shocking service yet again beginning to think you guys find it funny!,BritishGasHelp,05/07/2017 16:57,8.82603E+17,8.82645E+17,431673892,DanielBowyer10
30,Wed Jul 05 17:10:07 +0000 2017,8.82648E+17,@DanielBowyer10 I assure you we don't Daniel. I've kept to my promises &amp; passed on everything we've discussed. I'm really sorry the 1/2,8.82645E+17,8.53016E+17,DanielBowyer10,@BritishGasHelp Shocking service yet again beginning to think you guys find it funny!,BritishGasHelp,05/07/2017 16:57,8.82603E+17,8.82645E+17,431673892,DanielBowyer10
