"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","I just published my own book and it’s called redemption alone is not enough. The subtitle is called reflections on… https://t.co/XaT13arWOj",FALSE,0,NA,2020-04-03 20:09:51,TRUE,NA,"1246168055580741632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JennyAn25249351",0,FALSE,FALSE,NA,NA
"2","RT @ghost_wales: I think Conservatives should take over Twitter it’s time we kick out all the hatred of the left waffle unhinged looney tun…",FALSE,0,NA,2020-04-03 20:09:46,FALSE,NA,"1246168033745342464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lauriescott99",11,TRUE,FALSE,NA,NA
"3","Hobby lobby, the so called Christian owners who speak directly to God! https://t.co/yYPMzy31BE",FALSE,0,NA,2020-04-03 20:09:45,FALSE,NA,"1246168029228081153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","katts73",0,FALSE,FALSE,NA,NA
"4","All alone #WaqarZaka went &amp; rescued Hindu &amp; Christian working as sweepers in Dunga Bunga, a town of Bahawalnagar Di… https://t.co/hMNMlcmtMv",FALSE,0,"kashif_95",2020-04-03 20:09:45,TRUE,"1246167551006162945","1246168027193839619","1229612714","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kashif_95",0,FALSE,FALSE,NA,NA
"5","RT @kbssidhu1961: Does not have travel history and did not go to Holla Mohalla . Apparently there was a health camp in the village by a Chr…",FALSE,0,NA,2020-04-03 20:09:41,FALSE,NA,"1246168010512945152",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","dww_k",12,TRUE,FALSE,NA,NA
"6","All alone #WaqarZaka went &amp; rescued Hindu &amp; Christian working as sweepers in Dunga Bunga, a town of Bahawalnagar Di… https://t.co/sqgofkHlsu",FALSE,0,NA,2020-04-03 20:09:40,TRUE,NA,"1246168008357265418",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","usman_isi1",0,FALSE,FALSE,NA,NA
"7","RT @lamRedUSA: While I enjoy political debates, 1st priority is to Americans.

These are desperate times with many fears. There are some wh…",FALSE,0,NA,2020-04-03 20:09:39,FALSE,NA,"1246168002489282560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","norvilgirl",3,TRUE,FALSE,NA,NA
"8","@mr_austin2u @Christian_J_D_M @Bmad730 How to take people’s rhymes",FALSE,0,"mr_austin2u",2020-04-03 20:09:38,FALSE,"1246167932717105152","1246168000820109314","766023421729837056","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","panachuck",0,FALSE,FALSE,NA,NA
"9","@rholftroy @fearing_aid @stevensoileau1 @DavidSkelton909 @FrankCranky @odktiger @wisemanryder @ChadCottle @hubie0… https://t.co/dkAeo68a9c",FALSE,0,"rholftroy",2020-04-03 20:09:37,TRUE,"1246163306483798017","1246167996604616709","788250218357817344","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","no39458820",0,FALSE,FALSE,NA,NA
"10","RT @harvingtonTR: This is utterly scandalous!
I’m sick to the back teeth of #islam being rammed down our throats!!
9% of the population bei…",FALSE,0,NA,2020-04-03 20:09:37,FALSE,NA,"1246167995417796610",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","donpearce1953",21,TRUE,FALSE,NA,NA
"11","@122mwl @bennyjohnson (1/2) I’ve been a Republican since the beginning. It started with my Christian background ali… https://t.co/rAvUmVHL4n",FALSE,0,"122mwl",2020-04-03 20:09:35,TRUE,"1246095061135364097","1246167987901652992","258553652","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RocGirlNY",0,FALSE,FALSE,NA,NA
"12","https://t.co/ilczpLivut what a season gentlemen truly an honor to coach you @Hoops863 @IvanLambert18 @SourceHoops… https://t.co/3XhDFfsSMW",FALSE,0,NA,2020-04-03 20:09:35,TRUE,NA,"1246167986748248065",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JCPHawk_Nation",0,FALSE,FALSE,NA,NA
