"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@arppaul @iFaridoon Bewakoof ho tum 
Faridoon
Anupama 
Suchitra Tyagi have deep rooted hatred for non muslim actors… https://t.co/96CGfkgxVv",FALSE,0,"arppaul",2020-04-03 20:07:24,TRUE,"1246076358280663040","1246167438024040449","108372111","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","isagar008",0,FALSE,FALSE,NA,NA
"2","RT @mullahyderabadi: NoNamazsplaining: When a secular Muslim who has no meaningful relationship to Islam, and thus likely impacted by weste…",FALSE,0,NA,2020-04-03 20:07:24,FALSE,NA,"1246167438003142658",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","khateeb88",3,TRUE,FALSE,NA,NA
"3","RT @Meherr_: The governments which didn't let Indian Muslim society to be flourished and be educated just for the sake of their vote bank a…",FALSE,0,NA,2020-04-03 20:07:24,FALSE,NA,"1246167437654908928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shanehussain110",10,TRUE,FALSE,NA,NA
"4","RT @KhaledBeydoun: In Assam, #India - where Modi is building China-style internment camps for Muslim immigrants - Muslims are currently res…",FALSE,0,NA,2020-04-03 20:07:23,FALSE,NA,"1246167433775394816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrJin2017",170,TRUE,FALSE,NA,NA
"5","RT @zoo_bear: Instead of asking similar questions, Our Indian media is either busy with Hindu-Muslim propaganda or  justifying thali bajaoi…",FALSE,0,NA,2020-04-03 20:07:22,FALSE,NA,"1246167431019520000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chuckle_back",404,TRUE,FALSE,NA,NA
"6","Happy Census Muslim Day of Action! Now that you know everyone counts and how to get counted, it’s time to participa… https://t.co/MF0IlHKRB1",FALSE,0,NA,2020-04-03 20:07:22,TRUE,NA,"1246167430017306624",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RISEsisterhood",0,FALSE,FALSE,NA,NA
"7","RT @JessRobeson: Nine – nor are these racist, rape gangs limited to the UK.

In Holland, Muslim men also target white girls. 

https://t.co…",FALSE,0,NA,2020-04-03 20:07:19,FALSE,NA,"1246167418822680576",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","gilli5",42,TRUE,FALSE,NA,NA
"8","RT @Shehla_Rashid: Hate Muslims at your own risk. No biryani for you. No siwaiyyan, no haleem, no rooh afza, no royal Muslim hospitality.…",FALSE,0,NA,2020-04-03 20:07:19,FALSE,NA,"1246167415798386688",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ishareef639",1341,TRUE,FALSE,NA,NA
"9","RT @Imamofpeace: Leader? You were nothing but a puppet for Hamas, Muslim Brotherhood, Mullahs of Iran and their lobbyists in the UK. You’re…",FALSE,0,NA,2020-04-03 20:07:18,FALSE,NA,"1246167413751574534",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Olivia_Romanov",645,TRUE,FALSE,NA,NA
"10","RT @TellMamaUK: India's coronavirus outbreak stokes islamophobia as Muslims blamed for spreading infection at congregation https://t.co/r6r…",FALSE,0,NA,2020-04-03 20:07:18,FALSE,NA,"1246167412837359617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ARafiq515",1,TRUE,FALSE,NA,NA
"11","RT @StevieBrexit: Up to 100 people - including LABOUR MP TAHIR ALI - turned up at a cemetery for an Islamic funeral - in defiance of the #c…",FALSE,0,NA,2020-04-03 20:07:17,FALSE,NA,"1246167409465143298",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","martinpalmer351",784,TRUE,FALSE,NA,NA
"12","RT @Kolmorgh: We Muslims want to live under the rule of Islam.
We want a Muslim leader who goes out to his people and says we want to apply…",FALSE,0,NA,2020-04-03 20:07:16,FALSE,NA,"1246167406172499968",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","suhailSID6",17,TRUE,FALSE,NA,NA
"13","RT @AsYouNotWish: THE REAL “Being a Muslim in India.” https://t.co/wlKfXmovDt",FALSE,0,NA,2020-04-03 20:07:16,FALSE,NA,"1246167405039996928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anwesh_kr",155,TRUE,FALSE,NA,NA
"14","RT @rahulroushan: Amazing. There are health workers and policemen in hospital after being attacked by Muslim mobs but ""hey give me attentio…",FALSE,0,NA,2020-04-03 20:07:15,FALSE,NA,"1246167401239990273",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","banda1984",826,TRUE,FALSE,NA,NA
"15","RT @Kolmorgh: If a Muslim leader comes out saying to his people, we want to live under the rule of Islam.
I swear that I, my children and a…",FALSE,0,NA,2020-04-03 20:07:15,FALSE,NA,"1246167399386107904",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","suhailSID6",4,TRUE,FALSE,NA,NA
"16","RT @Kolmorgh: We Muslims want to live under the rule of Islam.
We want a Muslim leader who goes out to his people and says we want to apply…",FALSE,0,NA,2020-04-03 20:07:14,FALSE,NA,"1246167396253085698",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adamslohenson",17,TRUE,FALSE,NA,NA
"17","RT @jihadwatchRS: Pakistan: Death sentence of Muslim who beheaded journalist Daniel Pearl is overturned, sentence reduced to 7 years https:…",FALSE,0,NA,2020-04-03 20:07:13,FALSE,NA,"1246167392490860546",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MariaMeijer3",45,TRUE,FALSE,NA,NA
"18","RT @MADANI_SMS: I'm Muslim before anything else.

Retweet if you agree",FALSE,0,NA,2020-04-03 20:07:12,FALSE,NA,"1246167385972842499",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","baby_fazeGh",136,TRUE,FALSE,NA,NA
"19","RT @KhaledBeydoun: In Assam, #India - where Modi is building China-style internment camps for Muslim immigrants - Muslims are currently res…",FALSE,0,NA,2020-04-03 20:07:11,FALSE,NA,"1246167382097264641",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bandrabachha",170,TRUE,FALSE,NA,NA
"20","RT @JMBooyah: Sweetie everyone’s already washing their hands five+ times a day, covering their face, not shaking hands + avoiding bars. Not…",FALSE,0,NA,2020-04-03 20:07:11,FALSE,NA,"1246167382047023105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ayouufall",33869,TRUE,FALSE,NA,NA
"21","@KhaledBeydoun Yeah victim cards of muslims 
the problem of Islam not others is muslims leaders religious books tea… https://t.co/NaMgWdNU5A",FALSE,0,"KhaledBeydoun",2020-04-03 20:07:10,TRUE,"1208276633582485504","1246167380037742592","2163076560","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nirajdude4",0,FALSE,FALSE,NA,NA
"22","@B4M813 May I ask if they were of Muslim faith ? If so then I would have thought, with all mosque closed and everyo… https://t.co/BbnyxkJDpS",FALSE,0,"B4M813",2020-04-03 20:07:10,TRUE,"1246159248154820609","1246167379958251520","624960108","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","radium_blue",0,FALSE,FALSE,NA,NA
"23","RT @jihadwatchRS: Pakistan: Death sentence of Muslim who beheaded journalist Daniel Pearl is overturned, sentence reduced to 7 years https:…",FALSE,0,NA,2020-04-03 20:07:08,FALSE,NA,"1246167371733139456",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Parikramah",45,TRUE,FALSE,NA,NA
"24","RT @QuranAndHadithh: I was a Muslim... I’m a Muslim... I’ll be a Muslim... I’ll die Insha’Allah as a Muslim and I’m proud of being a MUSLIM…",FALSE,0,NA,2020-04-03 20:07:08,FALSE,NA,"1246167371510878213",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Babymariam01",1108,TRUE,FALSE,NA,NA
"25","They said yes #nikkah #marriage #marriagedecoration #decor #decoration #muslim #muslimcouple #ido #yes #quboolhai… https://t.co/YCP3rAbNRh",FALSE,0,NA,2020-04-03 20:07:08,TRUE,NA,"1246167369136984065",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","MarriageEveryt1",0,FALSE,FALSE,NA,NA
"26","RT @islamicfreedom: I’m not perfect Muslim, but I’m trying.",FALSE,0,NA,2020-04-03 20:07:06,FALSE,NA,"1246167363759702017",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IlyReesya",156,TRUE,FALSE,NA,NA
"27","RT @KhaledBeydoun: In Assam, #India - where Modi is building China-style internment camps for Muslim immigrants - Muslims are currently res…",FALSE,0,NA,2020-04-03 20:07:05,FALSE,NA,"1246167359993200640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mhmdwhatever",170,TRUE,FALSE,NA,NA
"28","RT @rahulroushan: Her brethren are firing bullets and pelting stones at police and health workers. But how come Muslims ever be the perpetr…",FALSE,0,NA,2020-04-03 20:07:04,FALSE,NA,"1246167355106807809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","devanshugupta07",803,TRUE,FALSE,NA,NA
"29","RT @KhaledBeydoun: Items that Muslims invented that we use everyday:

1 - Algebra 
2 - Maps
3 - Clocks 
4 - Camera
5 - Hygiene rituals (man…",FALSE,0,NA,2020-04-03 20:07:04,FALSE,NA,"1246167354817552386",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AgrimDayer",247,TRUE,FALSE,NA,NA
"30","RT @SouleFacts: Whether you like me or hate me, I swear if I had to remain hungry also,  no matter but I would never buy anything from a Mu…",FALSE,0,NA,2020-04-03 20:07:04,FALSE,NA,"1246167354234437632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ManishC52077563",15,TRUE,FALSE,NA,NA
"31","RT @AsYouNotWish: THE REAL “Being a Muslim in India.” https://t.co/wlKfXmovDt",FALSE,0,NA,2020-04-03 20:07:03,FALSE,NA,"1246167351474581505",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pundir_vaibhav_",155,TRUE,FALSE,NA,NA
"32","RT @SouleFacts: Whether you like me or hate me, I swear if I had to remain hungry also,  no matter but I would never buy anything from a Mu…",FALSE,0,NA,2020-04-03 20:07:03,FALSE,NA,"1246167351336161280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ravi46937646",15,TRUE,FALSE,NA,NA
"33","RT @islamicfreedom: I’m not perfect Muslim, but I’m trying.",FALSE,0,NA,2020-04-03 20:07:02,FALSE,NA,"1246167347255111680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","danyzariff3",156,TRUE,FALSE,NA,NA
"34","""Being a Muslim in India""",FALSE,0,"Mykdrops",2020-04-03 20:07:02,FALSE,"1246160745177296896","1246167346042908672","1105059085311987712","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Mykdrops",0,FALSE,FALSE,NA,NA
"35","RT @AsYouNotWish: THE REAL “Being a Muslim in India.” https://t.co/wlKfXmovDt",FALSE,0,NA,2020-04-03 20:07:01,FALSE,NA,"1246167341685039104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Narenzoomin",155,TRUE,FALSE,NA,NA
"36","RT @Kolmorgh: I will defend every Muslim person until the end",FALSE,0,NA,2020-04-03 20:07:01,FALSE,NA,"1246167339986571264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wardajama",60,TRUE,FALSE,NA,NA
"37","RT @AsYouNotWish: THE REAL “Being a Muslim in India.” https://t.co/wlKfXmovDt",FALSE,0,NA,2020-04-03 20:07:00,FALSE,NA,"1246167339202158593",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hughcampx",155,TRUE,FALSE,NA,NA
"38","RT @TarekFatah: Muslim man wipes his nose and mucous on currency notes to spread #coronavirus pandemic. He claims there is no cure for #COV…",FALSE,0,NA,2020-04-03 20:07:00,FALSE,NA,"1246167335423148032",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CultureWarlord",4438,TRUE,FALSE,NA,NA
"39","RT @AQUIBMIR7: Now another fatwa against me that u r Hindu . 
Ok iam hindu .
But ask ur dada to hindu say muslim kB banein hein 😂. 

Jai Bh…",FALSE,0,NA,2020-04-03 20:06:59,FALSE,NA,"1246167333191614464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pathak67k",193,TRUE,FALSE,NA,NA
"40","RT @AQuantumCat1: In my town, muslim taxi drivers carry on, muslim shops are open (including a vape shop) and the mosques are open. Meanwhi…",FALSE,0,NA,2020-04-03 20:06:59,FALSE,NA,"1246167331392442368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mpclarke213",118,TRUE,FALSE,NA,NA
"41","RT @zoo_bear: Instead of asking similar questions, Our Indian media is either busy with Hindu-Muslim propaganda or  justifying thali bajaoi…",FALSE,0,NA,2020-04-03 20:06:58,FALSE,NA,"1246167330440318977",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","arfat_allarakha",404,TRUE,FALSE,NA,NA
"42","@shahid_siddiqui Some Muslim leaders using it as their publicity...in the democratic society everybody having their… https://t.co/7Wlq3cZvU0",FALSE,0,"shahid_siddiqui",2020-04-03 20:06:58,TRUE,"1244891900022161408","1246167330331099137","76558553","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JagannathanRam6",0,FALSE,FALSE,NA,NA
"43","RT @anealla: Areema Nasreen worked as a hospital cleaner for 15 years before realising her dream and becoming a nurse. She died this mornin…",FALSE,0,NA,2020-04-03 20:06:58,FALSE,NA,"1246167329735663617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PaLaCultura_x",34,TRUE,FALSE,NA,NA
